drug,disease
[14032],36129
[14032],29709
[14026],36129
[14026],29709
[14310],36129
[14310],29709
[14029],36129
[14029],29709
[15432],36129
[15432],29709
[14381],36129
[14381],29709
[20454],36129
[20454],29709
[14023],36129
[14023],29709
[19330],36129
[19330],29709
[14251],36129
[14251],29709
[15763],29614
[15763],83776
[17124],29614
[17124],83776
[20396],29614
[20396],83776
[20440],29614
[20440],83776
[14561],29614
[14561],83776
[19671],29614
[19671],83776
[20146],29614
[20146],83776
[14560],29614
[14560],83776
[20417],29614
[20417],83776
[20311],29614
[20311],83776
[17736],29614
[17736],83776
[20362],29614
[20362],83776
[20376],29614
[20376],83776
[17735],29614
[17735],83776
[17728],29614
[17728],83776
[14667],29614
[14667],83776
[17746],29614
[17746],83776
[14269],29182
[14269],33534
[14597],29182
[14597],33534
[14194],29182
[14194],33534
[14206],29182
[14206],33534
[14623],29182
[14623],33534
[14024],29182
[14024],33534
[14030],29182
[14030],33534
[14028],29182
[14028],33534
[15003],29182
[15003],33534
[14042],29182
[14042],33534
[14320],29182
[14320],33534
[14273],29182
[14273],33534
[14019],29182
[14019],33534
[18283],29182
[18283],33534
[14023],29182
[14023],33534
[14347],29182
[14347],33534
[20377],37770
[20377],83777
[15064],37770
[15064],83777
[20431],37770
[20431],83777
[14269],37770
[14269],83777
[14020],37770
[14020],83777
[15486],37770
[15486],83777
[14021],37770
[14021],83777
[15500],37770
[15500],83777
[16837],37770
[16837],83777
[14024],37770
[14024],83777
[20437],37770
[20437],83777
[14941],37770
[14941],83777
[14030],37770
[14030],83777
[14028],37770
[14028],83777
[15003],37770
[15003],83777
[14042],37770
[14042],83777
[14320],37770
[14320],83777
[17776],37770
[17776],83777
[14019],37770
[14019],83777
[14033],37770
[14033],83777
[15583],37770
[15583],83777
[14032],37770
[14032],83777
[14026],37770
[14026],83777
[14029],37770
[14029],83777
[14023],37770
[14023],83777
[14269],31511
[14024],31511
[14030],31511
[14028],31511
[15003],31511
[14042],31511
[14320],31511
[14019],31511
[14023],31511
[20455],33572
[20455],83778
[20455],35915
[20455],83779
[15110],33572
[15110],83778
[15110],35915
[15110],83779
[15098],33572
[15098],83778
[15098],35915
[15098],83779
[14952],33572
[14952],83778
[14952],35915
[14952],83779
[14938],33572
[14938],83778
[14938],35915
[14938],83779
[14178],33572
[14178],83778
[14178],35915
[14178],83779
[16434],33572
[16434],83778
[16434],35915
[16434],83779
[14841],33572
[14841],83778
[14841],35915
[14841],83779
[15001],33572
[15001],83778
[15001],35915
[15001],83779
[14269],31723
[14269],83780
[14024],31723
[14024],83780
[14030],31723
[14030],83780
[14028],31723
[14028],83780
[15003],31723
[15003],83780
[14042],31723
[14042],83780
[14320],31723
[14320],83780
[14019],31723
[14019],83780
[14023],31723
[14023],83780
[14269],37541
[14269],33596
[14030],37541
[14030],33596
[14028],37541
[14028],33596
[15003],37541
[15003],33596
[14042],37541
[14042],33596
[14019],37541
[14019],33596
[14023],37541
[14023],33596
[14269],32384
[14030],32384
[14028],32384
[15003],32384
[14042],32384
[14320],32384
[14019],32384
[14023],32384
[20157],33675
[20157],83781
[20157],39773
[15064],33675
[15064],83781
[15064],39773
[14269],33675
[14269],83781
[14269],39773
[20457],33675
[20457],83781
[20457],39773
[20458],33675
[20458],83781
[20458],39773
[16323],33675
[16323],83781
[16323],39773
[15399],33675
[15399],83781
[15399],39773
[15500],33675
[15500],83781
[15500],39773
[14159],33675
[14159],83781
[14159],39773
[17560],33675
[17560],83781
[17560],39773
[14784],33675
[14784],83781
[14784],39773
[14018],33675
[14018],83781
[14018],39773
[20459],33675
[20459],83781
[20459],39773
[15586],33675
[15586],83781
[15586],39773
[14024],33675
[14024],83781
[14024],39773
[14034],33675
[14034],83781
[14034],39773
[14807],33675
[14807],83781
[14807],39773
[16352],33675
[16352],83781
[16352],39773
[17224],33675
[17224],83781
[17224],39773
[15614],33675
[15614],83781
[15614],39773
[14030],33675
[14030],83781
[14030],39773
[14028],33675
[14028],83781
[14028],39773
[15003],33675
[15003],83781
[15003],39773
[14042],33675
[14042],83781
[14042],39773
[14320],33675
[14320],83781
[14320],39773
[15956],33675
[15956],83781
[15956],39773
[17568],33675
[17568],83781
[17568],39773
[14038],33675
[14038],83781
[14038],39773
[15646],33675
[15646],83781
[15646],39773
[16532],33675
[16532],83781
[16532],39773
[14019],33675
[14019],83781
[14019],39773
[14014],33675
[14014],83781
[14014],39773
[17561],33675
[17561],83781
[17561],39773
[15059],33675
[15059],83781
[15059],39773
[15971],33675
[15971],83781
[15971],39773
[14848],33675
[14848],83781
[14848],39773
[15166],33675
[15166],83781
[15166],39773
[18755],33675
[18755],83781
[18755],39773
[14036],33675
[14036],83781
[14036],39773
[14023],33675
[14023],83781
[14023],39773
[14601],33675
[14601],83781
[14601],39773
[15511],33675
[15511],83781
[15511],39773
[14269],83782
[14024],83782
[14030],83782
[14028],83782
[15003],83782
[14042],83782
[14320],83782
[14019],83782
[14023],83782
[20298],33679
[16085],33679
[14921],33679
[15295],33679
[14652],33679
[20214],33679
[17634],33679
[17987],33679
[14269],37722
[14024],37722
[15826],37722
[14030],37722
[14028],37722
[15003],37722
[14042],37722
