hypergraph_idx,kg_idx,node_name
394,18043,INCB-9471
395,18054,Tivantinib
396,18098,Pegademase
397,18100,Tapinarof
398,18102,Plerixafor
399,18119,Ulixertinib
400,18121,Apadenoson
401,18123,Regadenoson
402,18124,"4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol"
403,18160,Emapalumab
404,18162,PRX-07034
405,18165,Tasonermin
406,18174,Ebselen
407,18178,PPL-100
408,18179,Sucralfate
409,18181,Wortmannin
410,18183,Pyrethrum extract
411,18189,Cerulenin
412,18192,Uracil
413,18193,Eniluracil
414,18195,Gimeracil
415,18212,CTS-1027
416,18216,Sodium stibogluconate
417,18217,Cositecan
418,18225,scyllo-inositol
419,18226,Velaglucerase alfa
420,18229,Briakinumab
421,18230,Ustekinumab
422,18233,Hyaluronidase (human recombinant)
423,18265,Alisertib
424,18277,Levetiracetam
425,18283,Belimumab
426,18300,Amibegron
427,18301,Solabegron
428,18307,Hydroxyfasudil
429,18309,Fasudil
430,18310,Y-27632
431,18311,Ripasudil
432,18312,Phenoxymethylpenicillin
433,18313,Oxacillin
434,18314,Benzoic acid
435,18325,Doramapimod
436,18334,Neflamapimod
437,18372,Camphor
438,18373,Resiniferatoxin
439,18375,Nonivamide
440,18377,Cannabidivarin
441,18394,Elacridar
442,18396,Zosuquidar
443,18397,Tariquidar
444,18399,Concanamycin A
445,18403,Desmethylsertraline
446,18406,Tagraxofusp
447,18409,Cenegermin
448,18410,Caplacizumab
449,18411,Simoctocog alfa
450,18412,Susoctocog alfa
451,18413,Efmoroctocog alfa
452,18416,Canakinumab
453,18417,Rilonacept
454,18418,Gevokizumab
455,18433,6-bromoindirubin-3'-oxime
456,18442,Tideglusib
457,18574,Cefdinir
458,18576,Icatibant
459,18583,Hyaluronic acid
460,18590,Streptomycin
461,18593,Pyrazolanthrone
462,18610,Sipuleucel-T
463,18611,Lonidamine
464,18634,Geldanamycin
465,18648,SNX-5422
466,18675,Alvespimycin
467,18678,5'-S-methyl-5'-thioadenosine
468,18680,Ingenol mebutate
469,18687,Cilastatin
470,18695,Eptifibatide
471,18731,Arundic acid
472,18739,Batimastat
473,18755,Cromoglicic acid
474,18756,Acamprosate
475,18759,7-Hydroxystaurosporine
476,18768,Colforsin
477,18769,Crofelemer
478,18771,Dacetuzumab
479,18773,Acetohydroxamic acid
480,18798,Reslizumab
481,18799,Mepolizumab
482,18808,Emodin
483,18849,LY-294002
484,18868,Tetomilast
485,18870,Myricetin
486,18884,Lactose
487,18900,Choline alfoscerate
488,18904,R048-8071
489,18912,Cytidine
490,18933,Fumagillin
491,18934,D-Methionine
492,18946,TNP-470
493,18959,Vorinostat
494,18988,Camostat
495,18990,Ubenimex
496,19007,Tosedostat
497,19009,Dihydroxyacetone phosphate
498,19027,Veliparib
499,19030,Talazoparib
500,19031,Iniparib
501,19124,Filanesib
502,19135,"3,4-Dihydroxycinnamic Acid"
503,19157,Fotemustine
504,19158,Motexafin gadolinium
505,19175,Testolactone
506,19177,Benralizumab
507,19188,Latrunculin B
508,19197,Teduglutide
509,19198,Felbinac
510,19199,Botulinum Toxin Type B
511,19207,Carbidopa
512,19208,Benserazide
513,19217,Tipiracil
514,19222,Isocarboxazid
515,19223,Pargyline
516,19245,Febuxostat
517,19247,Roxadustat
518,19249,Fisetin
519,19250,Pentostatin
520,19267,Saredutant
521,19278,Encenicline
522,19279,gamma-Hydroxybutyric acid
523,19281,Carfilzomib
524,19282,Pracinostat
525,19283,Mocetinostat
526,19284,Abexinostat
527,19285,Telcagepant
528,19286,Eptinezumab
529,19287,Fremanezumab
530,19288,Galcanezumab
531,19289,Osanetant
532,19290,Talnetant
533,19293,Tipifarnib
534,19301,PX-478
535,19303,Pilaralisib
536,19309,AGRO100
537,19310,Tarenflurbil
538,19320,Rilapladib
539,19324,Glatiramer
540,19326,Peptide YY (3-36)
541,19330,Dupilumab
542,19331,Ecabet
543,19337,Managlinat dialanetil
544,19343,Idronoxil
545,19348,Lebrikizumab
546,19349,Oregovomab
547,19350,Ecallantide
548,19351,Lanadelumab
549,19353,Eritoran
550,19356,Mifamurtide
551,19360,Afamelanotide
552,19377,Selisistat
553,19447,Zanamivir
554,19491,MK-1775
555,19504,Metreleptin
556,19548,Plozalizumab
557,19551,Tromethamine
558,19562,Hesperidin
559,19564,Farletuzumab
560,19566,Berberine
561,19568,E-2012
562,19571,Guselkumab
563,19591,Irofulven
564,19597,Apatorsen
565,19599,Lexatumumab
566,19600,GSK-923295
567,19603,Nivolumab
568,19604,Pembrolizumab
569,19605,Cemiplimab
570,19606,Camrelizumab
571,19608,Tislelizumab
572,19610,Dostarlimab
573,19611,Romiplostim
574,19614,Atezolizumab
575,19615,Durvalumab
576,19616,Avelumab
577,19620,Blinatumomab
578,19621,Amatuximab
579,19623,Urelumab
580,19627,Bardoxolone methyl
581,19628,Astaxanthin
582,19634,Talarozole
583,19636,Nelipepimut-S
584,19641,Elotuzumab
585,19643,Carotuximab
586,19646,Tisagenlecleucel
587,19648,Tafasitamab
588,19650,Linaclotide
589,19663,Teriparatide
590,19665,Gossypol
591,19667,Labradimil
592,19671,Denosumab
593,19692,Indirubin
594,19696,Gadopentetic acid
